GO_IDs	GO_terms
GO:0000003	reproduction
GO:0000012	single strand break repair
GO:0000019	regulation of mitotic recombination
GO:0000027	ribosomal large subunit assembly
GO:0000028	ribosomal small subunit assembly
GO:0000032	cell wall mannoprotein biosynthetic process
GO:0000038	very long-chain fatty acid metabolic process
GO:0000045	autophagosome assembly
GO:0000050	urea cycle
GO:0000052	citrulline metabolic process
GO:0000053	argininosuccinate metabolic process
GO:0000054	ribosomal subunit export from nucleus
GO:0000055	ribosomal large subunit export from nucleus
GO:0000056	ribosomal small subunit export from nucleus
GO:0000060	protein import into nucleus, translocation
GO:0000070	mitotic sister chromatid segregation
GO:0000075	cell cycle checkpoint
GO:0000076	DNA replication checkpoint
GO:0000077	DNA damage checkpoint
GO:0000079	regulation of cyclin-dependent protein serine/threonine kinase activity
GO:0000082	G1/S transition of mitotic cell cycle
GO:0000086	G2/M transition of mitotic cell cycle
GO:0000103	sulfate assimilation
GO:0000122	negative regulation of transcription by RNA polymerase II
GO:0000132	establishment of mitotic spindle orientation
GO:0000147	actin cortical patch assembly
GO:0000154	rRNA modification
GO:0000160	phosphorelay signal transduction system
GO:0000165	MAPK cascade
GO:0000183	chromatin silencing at rDNA
GO:0000184	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay
GO:0000185	activation of MAPKKK activity
GO:0000186	activation of MAPKK activity
GO:0000187	activation of MAPK activity
GO:0000188	inactivation of MAPK activity
GO:0000209	protein polyubiquitination
GO:0000212	meiotic spindle organization
GO:0000226	microtubule cytoskeleton organization
GO:0000244	spliceosomal tri-snRNP complex assembly
GO:0000245	spliceosomal complex assembly
GO:0000256	allantoin catabolic process
GO:0000266	mitochondrial fission
GO:0000278	mitotic cell cycle
GO:0000280	nuclear division
GO:0000281	mitotic cytokinesis
GO:0000288	nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay
GO:0000289	nuclear-transcribed mRNA poly(A) tail shortening
GO:0000290	deadenylation-dependent decapping of nuclear-transcribed mRNA
GO:0000291	nuclear-transcribed mRNA catabolic process, exonucleolytic
GO:0000301	retrograde transport, vesicle recycling within Golgi
GO:0000302	response to reactive oxygen species
GO:0000338	protein deneddylation
GO:0000349	generation of catalytic spliceosome for first transesterification step
GO:0000350	generation of catalytic spliceosome for second transesterification step
GO:0000375	RNA splicing, via transesterification reactions
GO:0000379	tRNA-type intron splice site recognition and cleavage
GO:0000380	alternative mRNA splicing, via spliceosome
GO:0000381	regulation of alternative mRNA splicing, via spliceosome
GO:0000387	spliceosomal snRNP assembly
GO:0000388	spliceosome conformational change to release U4 (or U4atac) and U1 (or U11)
GO:0000389	mRNA 3'-splice site recognition
GO:0000390	spliceosomal complex disassembly
GO:0000395	mRNA 5'-splice site recognition
GO:0000398	mRNA splicing, via spliceosome
GO:0000413	protein peptidyl-prolyl isomerization
GO:0000422	autophagy of mitochondrion
GO:0000423	mitophagy
GO:0000447	endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO:0000448	cleavage in ITS2 between 5.8S rRNA and LSU-rRNA of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO:0000453	enzyme-directed rRNA 2'-O-methylation
GO:0000454	snoRNA guided rRNA pseudouridine synthesis
GO:0000460	maturation of 5.8S rRNA
GO:0000461	endonucleolytic cleavage to generate mature 3'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO:0000462	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO:0000463	maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO:0000466	maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO:0000467	exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO:0000469	cleavage involved in rRNA processing
GO:0000470	maturation of LSU-rRNA
GO:0000472	endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO:0000480	endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO:0000481	maturation of 5S rRNA
GO:0000492	box C/D snoRNP assembly
