GO_IDs	GO_terms
GO:0000009	alpha-1,6-mannosyltransferase activity
GO:0000014	single-stranded DNA endodeoxyribonuclease activity
GO:0000030	mannosyltransferase activity
GO:0000033	alpha-1,3-mannosyltransferase activity
GO:0000035	acyl binding
GO:0000036	acyl carrier activity
GO:0000048	peptidyltransferase activity
GO:0000049	tRNA binding
GO:0000062	fatty-acyl-CoA binding
GO:0000064	L-ornithine transmembrane transporter activity
GO:0000095	S-adenosyl-L-methionine transmembrane transporter activity
GO:0000104	succinate dehydrogenase activity
GO:0000149	SNARE binding
GO:0000150	recombinase activity
GO:0000155	phosphorelay sensor kinase activity
GO:0000166	nucleotide binding
GO:0000171	ribonuclease MRP activity
GO:0000175	3'-5'-exoribonuclease activity
GO:0000179	rRNA (adenine-N6,N6-)-dimethyltransferase activity
GO:0000213	tRNA-intron endonuclease activity
GO:0000215	tRNA 2'-phosphotransferase activity
GO:0000224	peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine amidase activity
GO:0000246	delta24(24-1) sterol reductase activity
GO:0000247	C-8 sterol isomerase activity
GO:0000248	C-5 sterol desaturase activity
GO:0000250	lanosterol synthase activity
GO:0000253	3-keto sterol reductase activity
GO:0000254	C-4 methylsterol oxidase activity
GO:0000285	1-phosphatidylinositol-3-phosphate 5-kinase activity
GO:0000287	magnesium ion binding
GO:0000293	ferric-chelate reductase activity
GO:0000298	endopolyphosphatase activity
GO:0000309	nicotinamide-nucleotide adenylyltransferase activity
GO:0000334	3-hydroxyanthranilate 3,4-dioxygenase activity
GO:0000339	RNA cap binding
GO:0000340	RNA 7-methylguanosine cap binding
GO:0000384	first spliceosomal transesterification activity
GO:0000386	second spliceosomal transesterification activity
GO:0000400	four-way junction DNA binding
GO:0000403	Y-form DNA binding
GO:0000404	heteroduplex DNA loop binding
GO:0000405	bubble DNA binding
GO:0000406	double-strand/single-strand DNA junction binding
GO:0000703	oxidized pyrimidine nucleobase lesion DNA N-glycosylase activity
GO:0000773	phosphatidyl-N-methylethanolamine N-methyltransferase activity
GO:0000774	adenyl-nucleotide exchange factor activity
GO:0000822	inositol hexakisphosphate binding
GO:0000828	inositol hexakisphosphate kinase activity
GO:0000829	inositol heptakisphosphate kinase activity
GO:0000900	translation repressor activity, mRNA regulatory element binding
GO:0000976	transcription regulatory region sequence-specific DNA binding
GO:0000977	RNA polymerase II regulatory region sequence-specific DNA binding
GO:0000978	RNA polymerase II proximal promoter sequence-specific DNA binding
GO:0000979	RNA polymerase II core promoter sequence-specific DNA binding
GO:0000980	RNA polymerase II distal enhancer sequence-specific DNA binding
GO:0000981	DNA-binding transcription factor activity, RNA polymerase II-specific
GO:0000982	transcription factor activity, RNA polymerase II proximal promoter sequence-specific DNA binding
GO:0000983	transcription factor activity, RNA polymerase II core promoter sequence-specific DNA binding
GO:0000987	proximal promoter sequence-specific DNA binding
GO:0000993	RNA polymerase II complex binding
GO:0000994	RNA polymerase III core binding
GO:0000995	RNA polymerase III general transcription initiation factor activity
GO:0001002	RNA polymerase III type 1 promoter sequence-specific DNA binding
GO:0001003	RNA polymerase III type 2 promoter sequence-specific DNA binding
GO:0001004	RNA polymerase III transcription regulator recruiting activity
GO:0001012	RNA polymerase II regulatory region DNA binding
GO:0001016	RNA polymerase III regulatory region DNA binding
GO:0001018	mitochondrial promoter sequence-specific DNA binding
GO:0001030	RNA polymerase III type 1 promoter DNA binding
GO:0001031	RNA polymerase III type 2 promoter DNA binding
GO:0001032	RNA polymerase III type 3 promoter DNA binding
GO:0001042	RNA polymerase I core binding
GO:0001046	core promoter sequence-specific DNA binding
GO:0001047	core promoter binding
GO:0001054	RNA polymerase I activity
GO:0001055	RNA polymerase II activity
GO:0001056	RNA polymerase III activity
GO:0001069	regulatory region RNA binding
GO:0001075	transcription factor activity, RNA polymerase II core promoter sequence-specific binding involved in preinitiation complex assembly
GO:0001077	proximal promoter DNA-binding transcription activator activity, RNA polymerase II-specific
GO:0001078	proximal promoter DNA-binding transcription repressor activity, RNA polymerase II-specific
GO:0001085	RNA polymerase II transcription factor binding
GO:0001097	TFIIH-class transcription factor complex binding
GO:0001099	basal RNA polymerase II transcription machinery binding
GO:0001102	RNA polymerase II activating transcription factor binding
GO:0001103	RNA polymerase II repressing transcription factor binding
GO:0001128	RNA polymerase II transcription coactivator activity involved in preinitiation complex assembly
GO:0001135	RNA polymerase II transcription regulator recruiting activity
GO:0001147	transcription termination site sequence-specific DNA binding
GO:0001156	TFIIIC-class transcription factor complex binding
GO:0001158	enhancer sequence-specific DNA binding
GO:0001162	RNA polymerase II intronic transcription regulatory region sequence-specific DNA binding
GO:0001164	RNA polymerase I CORE element sequence-specific DNA binding
GO:0001181	RNA polymerase I general transcription initiation factor activity
GO:0001205	distal enhancer DNA-binding transcription activator activity, RNA polymerase II-specific
GO:0001222	transcription corepressor binding
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific
GO:0001517	N-acetylglucosamine 6-O-sulfotransferase activity
GO:0001530	lipopolysaccharide binding
GO:0001537	N-acetylgalactosamine 4-O-sulfotransferase activity
GO:0001540	amyloid-beta binding
GO:0001565	phorbol ester receptor activity
GO:0001567	cholesterol 25-hydroxylase activity
GO:0001588	dopamine neurotransmitter receptor activity, coupled via Gs
GO:0001591	dopamine neurotransmitter receptor activity, coupled via Gi/Go
GO:0001594	trace-amine receptor activity
GO:0001604	urotensin II receptor activity
GO:0001607	neuromedin U receptor activity
