Pking_Entrez_geneID	GO_IDs
111832676	GO:0006952,GO:0019679,GO:0042742,GO:1903426
111832677	
111832678	GO:0006281
111832681	GO:0006355
111832683	GO:0003355,GO:0034613,GO:0035082,GO:0035889,GO:0045880,GO:0048870,GO:0055001,GO:1903566
111832684	GO:0006811,GO:0006884,GO:0007268,GO:0010107,GO:0055064,GO:0055075,GO:0055085,GO:0071477,GO:1902476
111832685	GO:0006508,GO:0048589
111832687	GO:0006171,GO:0007189,GO:0009190,GO:0035556
111832689	GO:0006355
111832690	GO:0006397,GO:0008380,GO:0043484
111832691	GO:0000209,GO:0034976
111832692	GO:0007165,GO:0007186
111832693	GO:0051492
111832695	GO:0006352,GO:0006355,GO:0045944
111832696	GO:0008150
111832697	GO:0008150
111832698	
111832699	GO:0003333,GO:0015804,GO:0055085
111832700	
111832702	GO:0006915,GO:0006974,GO:0007032,GO:0007040,GO:0008333,GO:0015031,GO:0045022
111832705	GO:0045022,GO:0048812,GO:1990126
111832706	GO:0006508,GO:0008053,GO:0034982,GO:0042407
111832707	GO:0000122
111832708	GO:0000226,GO:0000278,GO:0007017,GO:0060271
111832709	GO:0035556
111832710	GO:0007165,GO:0007186
111832711	
111832714	GO:0035023
111832715	GO:0006357,GO:0007049,GO:0007346,GO:0030154,GO:0051726,GO:2000134
111832716	GO:0055114
111832717	GO:0006511,GO:0016579,GO:0021551,GO:0070536,GO:1904888,GO:1990108
111832718	GO:0006811,GO:0006812,GO:0006814,GO:0006885,GO:0051453,GO:0055085,GO:0071805,GO:0098719
111832719	GO:0007275,GO:0007420,GO:0014033,GO:0014036,GO:0051260,GO:0060037,GO:0060070
111832720	
111832721	GO:0001945,GO:0006508,GO:0031290,GO:0035701
111832722	GO:0006836,GO:0015874,GO:0051583
111832723	GO:0006629,GO:0008152,GO:0008654
111832725	GO:0006891,GO:0015031
111832726	GO:0000469,GO:0030490,GO:0042274
111832727	GO:0042254,GO:0042255,GO:0042273
111832729	
111832730	GO:0008033,GO:0055114
111832731	GO:0007165,GO:0007186,GO:0007194,GO:0007204
111832732	GO:0003333,GO:0055085
111832733	
111832734	GO:0000132,GO:0001947,GO:0003140,GO:0007010,GO:0014032,GO:0022604,GO:0035844,GO:0060271,GO:0061032,GO:0061371
111832735	GO:0008150,GO:0045893,GO:0045944
111832736	GO:0033555,GO:0034650
111832737	GO:0006606,GO:0042273
111832738	GO:0008152
111832739	GO:0000460
111832740	
111832741	
111832742	GO:0001947,GO:0003406,GO:0006811,GO:0006879,GO:0007034,GO:0007035,GO:0008057,GO:0015991,GO:0030030,GO:0032438,GO:0035675,GO:0036295,GO:0039022,GO:0046688,GO:0060041,GO:0060271,GO:0070986
111832743	GO:0008152,GO:0009116,GO:0016310,GO:0044206,GO:0044211
111832745	GO:0006144,GO:0019628
111832746	GO:0001839,GO:0003146,GO:0016055,GO:0030178,GO:0042308,GO:0060061,GO:0060971,GO:0060972,GO:0070121,GO:0090090
111832747	
111832748	GO:0006397
111832750	GO:0006612,GO:0018230
111832751	GO:0006355,GO:0035118,GO:0045743
111832752	
111832753	GO:0006355,GO:0009617,GO:0035556,GO:0042742,GO:0042981,GO:0051607
111832754	GO:0006355
111832755	GO:0006811,GO:0015986
111832757	GO:0001578,GO:0032273,GO:0046785
111832760	
111832761	
111832762	GO:0055085
111832763	GO:0005975,GO:0016051
111832764	
111832768	GO:0007411,GO:0021654,GO:0048013
111832770	GO:0007018
111832771	GO:0010951
111832772	GO:0008150
111832773	GO:0014823,GO:0030097,GO:0043249,GO:0048793,GO:0048823
111832774	
111832775	GO:0007507,GO:0061384,GO:0071557
111832776	GO:0001503,GO:0007275,GO:0015012,GO:0030166,GO:0030198,GO:0030206,GO:0033320,GO:0050650,GO:0051216
111832777	GO:0008150
111832778	
111832781	
111832787	GO:0000122,GO:0006355,GO:0045879
111832788	GO:0006629,GO:0006659,GO:0008654
111832789	GO:0042981
111832790	GO:0007155,GO:0060231,GO:0061053
111832792	GO:0000902,GO:0007010,GO:0007163,GO:0008154,GO:0045761
111832793	
111832794	GO:0015031,GO:0032509,GO:0043328
111832795	GO:0007165,GO:0007186,GO:0032870
111832797	
111832798	
111832799	GO:0007019,GO:0031110,GO:0031175,GO:0051493
111832800	GO:0000381,GO:0001756,GO:0001947,GO:0003228,GO:0006397,GO:0006417,GO:0006974,GO:0007519,GO:0008380,GO:0010830,GO:0010831,GO:0030154,GO:0043488,GO:0045663,GO:0048255,GO:0048702,GO:0060297,GO:0060298,GO:0061157,GO:0061158,GO:0072358,GO:1902811,GO:1905870,GO:2000738,GO:2000766
111832801	
111832802	
111832804	
111832806	GO:0007018,GO:0072383
111832807	GO:0001525,GO:0006606
111832809	GO:0048488
111832810	GO:0007369,GO:0060027
111832811	GO:0000226,GO:0000281,GO:0007099,GO:0010824,GO:0019722,GO:0022027,GO:0032465,GO:0060271
111832812	GO:0008543,GO:0070121
111832813	GO:0006955
111832814	GO:0006811,GO:0006828,GO:0007338,GO:0051480,GO:0055085,GO:0070588
111832815	GO:0008152,GO:0071466
111832817	GO:0001966,GO:0006897,GO:0006914,GO:0036268,GO:0036269,GO:0061564
111832820	GO:0006886,GO:0090630
111832821	
111832822	
111832825	
111832827	GO:0006325,GO:0008285,GO:0016573
111832828	GO:0045595
111832830	GO:0030030,GO:0060271
111832831	GO:0006468,GO:0007169,GO:0009968,GO:0010717,GO:0016310,GO:0016477,GO:0030154,GO:0032956,GO:0043066,GO:0043087,GO:0043410,GO:0051893,GO:0070374,GO:0070507,GO:0097155,GO:0097156
111832832	GO:0001568,GO:0006468,GO:0016310,GO:0023014,GO:0031098,GO:0032147,GO:0042981,GO:0043408
111832833	GO:0006506
111832834	GO:0015015
111832835	GO:0007043,GO:0007155,GO:0007156,GO:0016339,GO:0021545,GO:0034332,GO:0042478,GO:0044331,GO:0048593,GO:0048925,GO:0060042,GO:0098609
111832836	
111832837	
111832839	GO:0007155,GO:0007156
111832840	GO:0045893,GO:0045944
111832841	GO:0008150
111832842	GO:0006508,GO:0006511,GO:0010498,GO:0010499,GO:0043161,GO:0051603
111832843	GO:0006352,GO:0006355,GO:0045944
111832844	
111832846	
111832848	
111832849	
111832850	
111832851	GO:0032259
111832852	GO:0007417,GO:0008285,GO:0009611,GO:0042127
111832853	
111832854	
111832855	
111832856	GO:0015677,GO:0055114,GO:0098706
111832857	GO:0006413
111832858	
111832859	
111832860	
111832861	GO:0030433,GO:0030968
111832862	
111832863	GO:0006351,GO:0006355,GO:0007275,GO:0007399,GO:0030154,GO:0050769
111832865	
111832869	GO:0038166
111832871	GO:0035023
111832872	GO:0006325,GO:0007051,GO:0007098,GO:0043044,GO:0048703,GO:0060322
111832873	GO:0006481,GO:0032259
111832874	GO:0006412,GO:0033077
111832875	GO:0001702,GO:0001764,GO:0001841,GO:0003370,GO:0007043,GO:0007155,GO:0007156,GO:0007398,GO:0008354,GO:0016339,GO:0034332,GO:0034334,GO:0042074,GO:0044331,GO:0055113,GO:0070586,GO:0098609
111832876	GO:0006895
111832877	GO:0007165
111832878	
111832879	GO:0006783,GO:0006828,GO:0055085
111832881	GO:0048675
111832882	GO:0006468,GO:0023014,GO:0031098,GO:0032147
111832883	
111832884	
111832885	
111832886	GO:0006623,GO:0006888,GO:0006891,GO:0006896,GO:0015031,GO:0016192,GO:0042147,GO:0048280
111832887	GO:0007275,GO:0016055,GO:0030182,GO:0045165
111832888	GO:0006886,GO:0006893,GO:0016192
111832889	GO:0030334,GO:0034446,GO:0061001
111832890	GO:0001514,GO:0006412,GO:0006414
111832891	GO:0003190,GO:0006355,GO:0007507,GO:0009887,GO:0009888,GO:0021514,GO:0035912,GO:0045637,GO:0048468,GO:0048646,GO:0048821,GO:0060215
111832892	GO:0008152
111832893	GO:0008152
111832894	GO:0009968,GO:0033333,GO:0045879,GO:0048635
111832895	
111832896	GO:0006457
111832897	GO:0006355,GO:0006357
111832898	GO:0008152
111832899	GO:0006811,GO:0006814,GO:0019228,GO:0034765,GO:0035725,GO:0055085,GO:0086010
111832900	GO:0006486,GO:0018279
111832901	GO:0010569,GO:0031122
111832902	GO:0002062,GO:0035988,GO:0042246
111832903	
111832904	GO:0008150
111832906	GO:0007264,GO:0007266
111832908	GO:0006357,GO:0043249
111832909	GO:0006415,GO:0070126
111832910	GO:0007219,GO:0007275,GO:0007389,GO:0007399,GO:0008593,GO:0021592,GO:0021654,GO:0030154,GO:0030902,GO:0035284,GO:0036066
111832911	GO:0008150
111832912	GO:0008361,GO:0009267,GO:0030307,GO:0031929,GO:0071230,GO:0071902
111832913	
111832914	GO:0006457,GO:0034976,GO:0045454,GO:1902175
111832915	
111832916	
111832917	GO:0003231,GO:0006325,GO:0006338,GO:0043044,GO:0060041
111832918	GO:0010717
111832919	GO:0006511,GO:0045842
111832920	
111832921	
111832926	GO:0007165,GO:0007186,GO:0007608,GO:0050896
111832928	GO:0007043,GO:0007155,GO:0007156,GO:0016339,GO:0034332,GO:0044331,GO:0098609
111832929	GO:0000122,GO:0006355,GO:0045893
111832930	GO:0050982,GO:0055114
111832931	GO:0001944,GO:0003401,GO:0006886,GO:0007417,GO:0015031,GO:0016192,GO:0033339
111832932	
111832933	
111832934	GO:0071277
111832935	GO:0006351,GO:0006355,GO:0035329,GO:0045944
111832936	GO:0007165,GO:0007186,GO:0008217,GO:0010155,GO:0042310,GO:0048484,GO:0051216
111832937	
111832938	
111832939	GO:0006470
111832941	
111832942	GO:0007032,GO:0015031,GO:0048675
111832943	
111832944	GO:0006811,GO:0006884,GO:0010481,GO:0034101,GO:0042391,GO:0048873,GO:0050982,GO:0071260
111832945	GO:0001702,GO:0001764,GO:0001841,GO:0003370,GO:0007043,GO:0007155,GO:0007156,GO:0007398,GO:0008354,GO:0016339,GO:0034332,GO:0034334,GO:0042074,GO:0044331,GO:0055113,GO:0070586,GO:0098609
111832946	GO:0007015,GO:0007163,GO:0007264,GO:0007266,GO:0008360,GO:0030036
111832947	GO:0007043,GO:0007155,GO:0007156,GO:0016339,GO:0034332,GO:0044331,GO:0098609
111832948	GO:0006508,GO:0007005
111832949	GO:0006355,GO:0045892
111832950	GO:0000076,GO:0000278,GO:0000281,GO:0006260,GO:0051315,GO:0071163
111832951	
111832952	GO:0008152
111832953	GO:0002098,GO:0002143,GO:0008033,GO:0032447,GO:0034227
111832954	
111832955	
111832956	GO:0007165,GO:1901842
111832957	GO:0006355,GO:0008150
111832958	GO:1904247
111832959	
111832960	GO:0006168,GO:0009116,GO:0044209
111832961	GO:0016226
111832962	GO:0006888
111832967	GO:0006511,GO:0016579
111832968	GO:0008150
111832969	GO:0006511,GO:0016579,GO:0031647
111832970	GO:0007275,GO:0030178,GO:0031647,GO:0090090
111832971	
111832973	GO:0001947,GO:0007010,GO:0010735,GO:0019417,GO:0030042,GO:0055114
111832974	GO:0008150
111832975	GO:0007155,GO:0007163,GO:0030031,GO:0031532,GO:0034446
111832976	
111832977	GO:0006351,GO:0006355,GO:0007623,GO:0009416,GO:0009648,GO:0045892,GO:0045893,GO:1901342
111832978	GO:0007498
111832979	GO:0007268,GO:0007416
111832980	
111832981	
111832982	GO:0006139,GO:0016310
111832985	GO:0007043,GO:0007155,GO:0007156,GO:0016339,GO:0031290,GO:0034332,GO:0044331,GO:0048840,GO:0060041,GO:0098609
111832986	GO:0055085
111832987	GO:0006508
111832988	
111832990	
111832991	GO:0006506
111832992	GO:0008150
111832993	GO:0008150
111832994	GO:0006486
111832995	GO:0008150
111832996	GO:0055114
111832998	GO:0001955,GO:0002040,GO:0007043,GO:0007155,GO:0007156,GO:0007507,GO:0009826,GO:0016339,GO:0016525,GO:0034332,GO:0044331,GO:0061300,GO:0072554,GO:0098609,GO:0120077,GO:0120078,GO:1902354,GO:1902355
111832999	
111833000	
111833002	GO:0007165,GO:0007186
111833003	GO:0000398
111833004	GO:0001816,GO:0006355,GO:0006366,GO:0007507,GO:0033173,GO:0045944
111833005	GO:0005975
111833006	GO:0007129,GO:0051321,GO:0070197
111833007	GO:0007596,GO:0030168,GO:0051258,GO:0072378
111833009	
111833010	GO:0006508
111833011	GO:0000226,GO:0007018,GO:0009794,GO:0060236,GO:0090235
111833012	GO:0048703,GO:0060021,GO:0060325,GO:0060536
111833013	GO:0006207,GO:0009220,GO:0044205,GO:0055114
111833014	GO:0019464
111833016	GO:0007596,GO:0030168,GO:0051258,GO:0072378
111833017	GO:0045116
111833018	
111833019	GO:0016121,GO:0042574,GO:0055114
111833020	GO:0006470
111833021	GO:0006418,GO:0006430
111833022	GO:0006281,GO:0007049,GO:0007064,GO:0008156,GO:0051301
111833024	GO:0001754,GO:0016121,GO:0030902,GO:0042574,GO:0055114
111833025	GO:0006166,GO:0006168,GO:0006178,GO:0009116,GO:0032263,GO:0032264,GO:0046100
111833028	
111833029	GO:0001947,GO:0007368,GO:0007369,GO:0008104,GO:0015031,GO:0030030,GO:0032402,GO:0033339,GO:0046907,GO:0051877,GO:0060271,GO:0070121,GO:1905515
111833030	GO:0006468,GO:0016310,GO:0023014,GO:0031098,GO:0032147
111833031	GO:0030514,GO:0048263
111833032	GO:0008150
111833033	GO:0007154
111833034	GO:0006468,GO:0007169,GO:0016310,GO:0030154,GO:0038083
111833035	GO:0008150
111833036	GO:0007605,GO:0032474,GO:0035556,GO:0035675,GO:0048793
111833037	GO:0000079,GO:0000278,GO:0007088,GO:0008284,GO:0045787,GO:0060041
111833038	
111833039	GO:0001732,GO:0001889,GO:0002040,GO:0006412,GO:0006413
111833040	GO:0060271
111833041	
111833042	GO:0003094,GO:0039021
111833043	GO:0050819,GO:2000145
111833045	GO:0006355,GO:0008150,GO:0016226,GO:0032981
111833046	GO:0001764,GO:0001889,GO:0002244,GO:0006325,GO:0006351,GO:0006355,GO:0008285,GO:0009953,GO:0016055,GO:0016575,GO:0021754,GO:0021903,GO:0030318,GO:0031017,GO:0031101,GO:0033687,GO:0045944,GO:0048263,GO:0048565,GO:0048706,GO:0048709,GO:0048935,GO:0050673,GO:0050769,GO:0060028,GO:0060042,GO:0060218,GO:0070932,GO:0070933
111833048	GO:0030154
111833050	GO:0007339,GO:0035803,GO:2000344
111833051	GO:0008150,GO:0050776,GO:0050852
111833052	GO:0006388,GO:0008033
111833053	GO:0008150
111833054	GO:0007154
111833055	
111833056	GO:0008150
111833057	GO:0001706,GO:0001889,GO:0003323,GO:0006351,GO:0006355,GO:0006357,GO:0007275,GO:0009952,GO:0021571,GO:0021572,GO:0021575,GO:0021664,GO:0021667,GO:0030073,GO:0030902,GO:0030916,GO:0031016,GO:0031018,GO:0032474,GO:0034672,GO:0035148,GO:0035622,GO:0042593,GO:0043049,GO:0045893,GO:0048546,GO:0048566,GO:0048752,GO:0048840,GO:0061008,GO:0072576,GO:1990798
111833058	GO:0006855,GO:0055085
111833059	GO:0007165,GO:0007250,GO:0042981,GO:0046330
111833060	
111833061	GO:0006364,GO:0006396,GO:0032259
111833062	GO:0007275,GO:0016055,GO:0030154,GO:0030178,GO:0031397,GO:0045454,GO:0055114,GO:0072358
111833063	GO:0008150
111833064	GO:0006814,GO:0015746,GO:0055085
111833065	GO:0010951
111833066	
111833067	GO:0006855,GO:0055085
111833068	GO:0016255
111833069	GO:0006468
111833070	GO:0006096
111833071	GO:0000381,GO:0006397,GO:0008380,GO:0045292
111833072	GO:0007017
111833073	
111833075	
111833076	GO:0006888
111833078	GO:0001756,GO:0006139,GO:0006351,GO:0006355,GO:0006357,GO:0006368,GO:0007507,GO:0032784,GO:0032968,GO:0034728,GO:0035050,GO:0042789,GO:0050684,GO:0061086,GO:0070827,GO:0071599
111833079	GO:0006886,GO:0032482
111833080	GO:0006168,GO:0009116
111833081	GO:0000027,GO:0006412,GO:0031016,GO:0051726
111833082	GO:0008150
111833083	GO:0010951,GO:0016525,GO:0050769
111833084	GO:0071712
111833088	
111833089	
111833091	GO:0030488
111833093	GO:0007165,GO:0030336
111833094	GO:0006468,GO:0016310
111833095	GO:0006338
111833096	GO:0001558,GO:0006325,GO:0006508,GO:0006511,GO:0007219,GO:0016579,GO:0035522,GO:0051726,GO:0071108,GO:1904888
111833097	GO:0006355
111833098	GO:0006811,GO:0006813,GO:0021591,GO:0034765,GO:0051260,GO:0055085,GO:0071805,GO:0090504
111833099	GO:0001516,GO:0006629,GO:0006631,GO:0006633,GO:0006693,GO:0055114
111833100	
111833101	GO:0006465,GO:0045047
111833103	GO:0008150
111833104	GO:0007416
111833109	
111833110	GO:0006412,GO:0007049,GO:0032790,GO:0051301,GO:0070481,GO:0070651,GO:0070966,GO:0071025
111833111	GO:0035556
111833112	GO:0001881,GO:0007032,GO:0042147
111833113	GO:0048706
111833114	GO:0035914,GO:0045214,GO:0048741
111833115	
111833116	
111833117	
111833118	GO:0006886,GO:0090630
111833119	GO:0006468,GO:0051321
111833120	GO:0001756,GO:0007160,GO:0007519,GO:0008104,GO:0043009,GO:0061055
111833121	GO:0006368
111833122	
111833123	GO:0006694,GO:0055114
111833124	
111833126	GO:0006629,GO:0008152,GO:0016042
111833127	
111833129	GO:0008150
111833130	GO:0001525,GO:0002244,GO:0045747,GO:0060216
111833131	GO:0006355
111833132	GO:0002072,GO:0006355,GO:0021592,GO:0030917,GO:0032474,GO:0035775,GO:0042472,GO:0048752,GO:0060041,GO:0060117,GO:0061386,GO:0072015,GO:1905962
111833134	GO:0001755,GO:0030335,GO:0048675,GO:0048843,GO:0071526
111833136	GO:0001947,GO:0001966,GO:0006811,GO:0006813,GO:0006814,GO:0006883,GO:0007368,GO:0007507,GO:0007519,GO:0010084,GO:0010107,GO:0015991,GO:0030007,GO:0035050,GO:0036376,GO:0042044,GO:0051480,GO:0060047,GO:0061371
111833137	GO:0006099,GO:0006121,GO:0006979
111833139	
111833140	
111833142	
111833143	GO:0006260,GO:0006273,GO:0006281,GO:0006310,GO:0006974,GO:0051103,GO:0071897,GO:1903461
111833146	
111833147	GO:0007155,GO:0046718
111833148	
111833149	GO:0046856
111833150	
111833151	
111833153	
111833154	
111833155	GO:0006139,GO:0009116
111833156	
111833157	
111833158	GO:0006811,GO:0006813,GO:0010107,GO:0034765
111833159	GO:0006412,GO:0006413,GO:1904888
111833161	GO:0001822,GO:0006811,GO:0006813,GO:0007626,GO:0008345,GO:0034765,GO:0036268,GO:0040011
111833165	GO:0006351,GO:0006355,GO:0033555
111833167	
111833169	GO:0016567
111833170	GO:0006468,GO:0006493,GO:0016310,GO:0036268,GO:0046835,GO:0061061
111833171	GO:0006829,GO:0030001,GO:0055085
111833172	GO:0006355,GO:0006357
111833173	GO:0005975,GO:0006516,GO:0046355
111833174	
111833175	GO:0006749,GO:0034599,GO:0045454,GO:0055114
111833176	GO:0015914,GO:0045332
111833177	
111833178	
111833179	GO:0045454
111833181	GO:0008150
111833183	GO:0001702,GO:0001764,GO:0001841,GO:0003370,GO:0007043,GO:0007155,GO:0007156,GO:0007398,GO:0008354,GO:0016339,GO:0034332,GO:0034334,GO:0042074,GO:0044331,GO:0055113,GO:0070586,GO:0098609
111833184	GO:0008150
111833185	
111833186	GO:0001822,GO:0001946,GO:0032965,GO:0050982
111833187	GO:0006887,GO:0007010,GO:0007049,GO:0008285,GO:0008544,GO:0010719,GO:0030031,GO:0030336,GO:0030866,GO:0031581,GO:0032878,GO:0043588,GO:0044458,GO:0045682,GO:0048919,GO:0050680,GO:0051294,GO:0070121,GO:0098773
111833188	GO:0001947,GO:0007369,GO:0032402,GO:0042051,GO:0046907,GO:0048749,GO:0051877,GO:0070121,GO:0072116
111833189	GO:0006012,GO:0008152,GO:0016310,GO:0033499,GO:0046835
111833190	GO:0006355
111833192	
111833193	GO:0006165,GO:0006183,GO:0006228,GO:0006241,GO:0016310,GO:0045765
111833194	
111833197	GO:0010269,GO:0043066,GO:0051491
111833198	GO:0009607
111833199	GO:0007420,GO:0035264
111833200	GO:0000186,GO:0006468,GO:0007420,GO:0023014,GO:0030901,GO:0031098,GO:0032147
111833201	GO:0045892,GO:0045893,GO:0045944
111833202	
111833203	GO:0006325,GO:0006351,GO:0006355,GO:0016578,GO:0045893
111833205	GO:0010603,GO:0034063
111833206	GO:0006811,GO:0006820,GO:0015701,GO:0051453,GO:0070509
111833207	
111833208	GO:0007165,GO:0048916,GO:0048922
111833209	GO:0006464,GO:0006886,GO:0051725,GO:0090630
111833210	GO:0001510,GO:0002128,GO:0002181,GO:0008033,GO:0030488,GO:0032259
111833211	GO:0007165,GO:0007264,GO:0042127,GO:0043547
111833212	
111833213	GO:0008150
111833215	GO:0055114
111833216	
111833217	
111833218	GO:0006325,GO:0006351,GO:0006355,GO:0010468,GO:0032259,GO:0051321
111833219	GO:0006351,GO:0006355,GO:0006357
111833220	GO:0061564
111833221	GO:0061564
111833222	GO:0006096,GO:0007520,GO:0008152
111833223	
111833225	
111833226	GO:0007520,GO:0072114
111833227	GO:0007018,GO:0007080
111833228	GO:0055085
111833230	GO:0006811,GO:0006813,GO:0010107,GO:0034765
111833231	GO:0007275,GO:0016055,GO:0030182,GO:0045165
111833232	
111833234	GO:0002040,GO:0007162,GO:0007165,GO:0008360,GO:0030334,GO:0043087,GO:0050772,GO:0071526,GO:1902287
111833235	GO:0000226,GO:0007020
111833236	GO:0008150
111833237	
111833238	
111833240	GO:0006355,GO:0036269
111833241	GO:0031667,GO:0046427
111833243	GO:0001963,GO:0007165,GO:0007186,GO:0007188,GO:0007195,GO:0014059,GO:0042493,GO:0048148,GO:0071880
111833245	GO:0006887,GO:0030042,GO:0055114
111833246	
111833247	GO:0008150
111833252	
111833253	
111833254	GO:0015031
111833255	GO:0006813,GO:0042493,GO:0055085
111833256	
111833257	
111833258	GO:0001654,GO:0006164,GO:0006177,GO:0006183,GO:0048066,GO:0055114
111833259	GO:0006886,GO:0090630
111833260	
111833261	
111833262	GO:0016554,GO:0060322,GO:2000742
111833263	
111833264	GO:0006397,GO:0006606,GO:0008380,GO:0030217
111833265	GO:0006351,GO:0006355,GO:0006357,GO:0019221,GO:0051607
111833267	GO:0006468,GO:0016310,GO:0045634,GO:0060026
111833269	GO:0000122,GO:0006351,GO:0006355,GO:0006631,GO:0007275,GO:0009755,GO:0010887,GO:0014823,GO:0019216,GO:0030154,GO:0033993,GO:0045892,GO:0045944,GO:0070417
111833270	
111833271	GO:0000245,GO:0010468,GO:0035556,GO:0050684
111833272	GO:0006325,GO:0006351,GO:0006355,GO:0106047,GO:0106048
111833273	GO:0007155,GO:0007160,GO:0007163,GO:0008016,GO:0030031,GO:0031532,GO:0034446
111833274	GO:0007155,GO:0007163,GO:0030031,GO:0031532,GO:0034446
111833275	
111833276	GO:0001569,GO:0001755,GO:0001763,GO:0007275,GO:0007399,GO:0008045,GO:0030154,GO:0030335,GO:0048755,GO:0048843,GO:0050919,GO:0071526
111833277	GO:0001755,GO:0002040,GO:0030335,GO:0048843,GO:0050919,GO:0071526
111833279	GO:0007275,GO:0007507,GO:0030198,GO:0035122,GO:0043589,GO:0090497
111833280	GO:0007416
111833281	GO:0006401,GO:0031047
111833282	
111833283	GO:0006351,GO:0006355,GO:0007275,GO:0008284,GO:0009952,GO:0010468,GO:0021538,GO:0021986,GO:0030900,GO:0030902,GO:0042670,GO:0045944,GO:0060221
111833284	
111833285	
111833286	
111833288	GO:0007165,GO:0030336
111833289	
111833291	GO:0006511,GO:0016579,GO:0034122
111833292	
111833294	GO:0001522,GO:0009451
111833295	GO:0070059
111833296	GO:0006811
111833297	GO:0006468,GO:0007165,GO:0009617,GO:0016310,GO:0045893
111833298	GO:0007165,GO:0007186,GO:0007200,GO:0070257,GO:0097746
111833299	GO:0010591,GO:0010976,GO:0030042,GO:0030837,GO:0042989,GO:0051016
111833300	GO:0006468,GO:0035556
111833301	GO:0006383
111833302	GO:0006470
111833304	GO:0007166
111833305	
111833306	
111833307	GO:0006412,GO:0006418,GO:0006437,GO:0043039
