Pking_Entrez_geneID	GO_IDs
111832676	GO:0005739
111832677	GO:0016020,GO:0016021
111832678	GO:0043240
111832681	GO:0005634
111832683	GO:0005737,GO:0005794,GO:0005856,GO:0005874,GO:0005929,GO:0031514,GO:0036064,GO:0042995
111832684	GO:0005887,GO:0016020,GO:0016021
111832685	GO:0016020,GO:0016021,GO:0031225
111832687	GO:0005886,GO:0005887,GO:0016020,GO:0016021
111832689	
111832690	GO:0005634
111832691	GO:0005783,GO:0016020,GO:0016021
111832692	GO:0016020,GO:0016021
111832693	
111832695	GO:0005669
111832696	GO:0005575
111832697	GO:0016020,GO:0016021
111832698	GO:0016020,GO:0016021
111832699	GO:0016020,GO:0016021
111832700	GO:0005634
111832702	GO:0005634,GO:0005737,GO:0005886,GO:0016020,GO:0070695
111832705	GO:0005769,GO:0005770,GO:0005886,GO:0016020,GO:0016021,GO:0030133,GO:0043005,GO:0097422
111832706	GO:0005743,GO:0016020,GO:0016021
111832707	GO:0005634
111832708	GO:0005737,GO:0005856,GO:0005874
111832709	
111832710	GO:0005886,GO:0016020,GO:0016021
111832711	GO:0005737
111832714	
111832715	GO:0000785,GO:0005634,GO:0005667
111832716	
111832717	GO:0005829
111832718	GO:0005886,GO:0016020,GO:0016021
111832719	
111832720	
111832721	GO:0031012
111832722	GO:0005886,GO:0016020,GO:0016021,GO:0032809,GO:0042734,GO:0043005
111832723	GO:0000139,GO:0005783,GO:0005789,GO:0005794,GO:0005811,GO:0016020,GO:0016021
111832725	GO:0000139,GO:0005794,GO:0016020,GO:0017119
111832726	GO:0030688
111832727	GO:0005634,GO:0005730,GO:0030687
111832729	
111832730	
111832731	GO:0016020,GO:0016021
111832732	GO:0016020,GO:0016021
111832733	GO:0005575
111832734	GO:0036064
111832735	GO:0005575,GO:0005634
111832736	GO:0016020,GO:0016021
111832737	
111832738	GO:0005575
111832739	GO:0000176
111832740	GO:0016020,GO:0016021
111832741	
111832742	GO:0005769,GO:0005813,GO:0016020,GO:0016471,GO:0033179,GO:0033181
111832743	
111832745	GO:0005777
111832746	GO:0005737,GO:0005886,GO:0016020
111832747	GO:0016020,GO:0016021
111832748	GO:0005634
111832750	GO:0005783,GO:0005794,GO:0016020,GO:0016021
111832751	GO:0005634
111832752	
111832753	GO:0005737
111832754	GO:0005634
111832755	GO:0000276,GO:0005739,GO:0005743,GO:0016020
111832757	GO:0005575,GO:0005874
111832760	GO:0005576,GO:0005615,GO:0016020,GO:0016021
111832761	
111832762	GO:0016020,GO:0016021
111832763	GO:0000139,GO:0005794,GO:0016020,GO:0016021
111832764	
