Pking_Entrez_geneID	GO_IDs
111832676	GO:0016829,GO:0047547,GO:0047613
111832677	GO:0046872
111832678	GO:0003682
111832681	GO:0003677,GO:0043565
111832683	GO:0008017,GO:0017137
111832684	GO:0005215,GO:0015377,GO:0015379
111832685	GO:0008233,GO:0008235,GO:0008237,GO:0008239,GO:0016787,GO:0016805,GO:0046872
111832687	GO:0000166,GO:0004016,GO:0005524,GO:0016829,GO:0016849,GO:0046872
111832689	GO:0003677,GO:0003700
111832690	GO:0003676,GO:0003723,GO:0003729
111832691	GO:0046872,GO:0061630
111832692	GO:0004930
111832693	
111832695	GO:0001075,GO:0003677,GO:0003700,GO:0008134,GO:0046982
111832696	GO:0003674
111832697	GO:0003674
111832698	
111832699	GO:0015175,GO:0015179,GO:0022857
111832700	GO:0005524,GO:0016817
111832702	GO:0061631
111832705	GO:0000149,GO:0005085,GO:0017137
111832706	GO:0004222,GO:0005524,GO:0008270
111832707	GO:0003700
111832708	GO:0000166,GO:0003924,GO:0005200,GO:0005525
111832709	
111832710	GO:0004930,GO:0004977,GO:0004980,GO:0005515
111832711	
111832714	GO:0005089
111832715	GO:0001012,GO:0001078,GO:0001102
111832716	GO:0016491
111832717	GO:0004843,GO:0036459,GO:0061578
111832718	GO:0015297,GO:0015299,GO:0015385,GO:0015386
111832719	
111832720	
111832721	GO:0004222,GO:0008233,GO:0008237,GO:0008270,GO:0016787,GO:0046872
111832722	GO:0005328,GO:0005330,GO:0015293
111832723	GO:0005509,GO:0016740,GO:0016746,GO:0046872,GO:0047192
111832725	
111832726	GO:0004521,GO:0046872
111832727	GO:0003723
111832729	GO:0003676,GO:0005524
111832730	GO:0003723,GO:0003824,GO:0017150,GO:0050660
111832731	GO:0004930,GO:0004966
111832732	GO:0015179,GO:0022857
111832733	GO:0016787
111832734	GO:0003714,GO:0046872
111832735	GO:0003713
111832736	GO:0003845,GO:0016491
111832737	GO:0051082
111832738	GO:0004060,GO:0016407,GO:0016740,GO:0016746
111832739	GO:0003674
111832740	
111832741	
111832742	GO:0008553,GO:0015078,GO:0046961
111832743	GO:0000166,GO:0004849,GO:0005524,GO:0016301,GO:0016740
111832745	GO:0016787,GO:0016811,GO:0033971
111832746	GO:0005509,GO:0046872
111832747	GO:0016740,GO:0016746,GO:0019706
111832748	GO:0003676
111832750	GO:0016740,GO:0016746,GO:0019706
111832751	GO:0003676,GO:0046872
111832752	GO:0016779
111832753	GO:0000166,GO:0005524,GO:0046982,GO:0050700
111832754	GO:0003677,GO:0003700,GO:0003705,GO:0043565
111832755	GO:0015078
111832757	GO:0015631
111832760	
111832761	
111832762	GO:0000166,GO:0005524,GO:0016887,GO:0042626
111832763	GO:0008146,GO:0016740
111832764	
111832768	GO:0046875
111832770	GO:0003777,GO:0005524,GO:0016887
111832771	GO:0004867
111832772	GO:0003674,GO:0030165
111832773	GO:0005128,GO:0005179
111832774	
111832775	GO:0046872,GO:0071558
111832776	GO:0016829,GO:0016831,GO:0048040,GO:0070403
111832777	GO:0003674
111832778	GO:0008234,GO:0071567
111832781	
111832787	GO:0008270,GO:0043565,GO:0046872
111832788	GO:0016740
111832789	GO:0097199
111832790	GO:0005509,GO:0008201
111832792	GO:0003779,GO:0008179
111832793	
111832794	GO:0044877
111832795	GO:0004930,GO:0004968,GO:0016500
111832797	
111832798	
111832799	GO:0015631
111832800	GO:0003676,GO:0003723,GO:0003730,GO:0035925,GO:0097157,GO:1990715,GO:1990825
111832801	GO:0005507,GO:0005509
111832802	
111832804	
111832806	GO:0000166,GO:0003777,GO:0005524,GO:0008017,GO:0016887
111832807	GO:0008139,GO:0017056,GO:0046872
111832809	
111832810	GO:0005524
111832811	GO:0005509,GO:0008017,GO:0031683,GO:0032795
111832812	GO:0005104,GO:0008083
111832813	GO:0005126
111832814	GO:0005216,GO:0005262,GO:0015279,GO:0070679
111832815	GO:0004364,GO:0016740
111832817	GO:0005085
111832820	GO:0005096,GO:0017137
111832821	
111832822	
111832825	
111832827	GO:0046872
111832828	
111832830	GO:0003674
111832831	GO:0000166,GO:0004672,GO:0004713,GO:0004714,GO:0004888,GO:0005003,GO:0005004,GO:0005005,GO:0005524,GO:0016301,GO:0016740
111832832	GO:0000166,GO:0004672,GO:0004674,GO:0005524,GO:0016301,GO:0016740,GO:0048365
111832833	
111832834	GO:0008146,GO:0016740,GO:0017095
111832835	GO:0005509,GO:0008092,GO:0042803,GO:0045296
111832836	GO:0016316
111832837	
111832839	GO:0005509
111832840	GO:0003713
111832841	GO:0003674
111832842	GO:0004175,GO:0004298,GO:0008233,GO:0016787
111832843	GO:0001075,GO:0003677,GO:0003700,GO:0008134,GO:0046982
111832844	
111832846	
111832848	
111832849	GO:0005198
111832850	
111832851	GO:0008168,GO:0016740
111832852	GO:0003674
111832853	
111832854	
111832855	
111832856	GO:0008823,GO:0052851
111832857	GO:0003723,GO:0003743,GO:0043024
111832858	
111832859	
111832860	
111832861	GO:0046872,GO:0061630
111832862	GO:0005102
111832863	GO:0003677,GO:0046983
111832865	GO:0005509
111832869	GO:0003674
111832871	GO:0005089
111832872	GO:0005524,GO:0046872
111832873	GO:0004671,GO:0008168,GO:0016740
111832874	GO:0003723,GO:0003735
111832875	GO:0001965,GO:0005509,GO:0008092,GO:0042803,GO:0045296
111832876	
111832877	GO:0005070
111832878	
111832879	GO:0016530
111832881	
111832882	GO:0004672,GO:0004674,GO:0005524
111832883	
111832884	GO:0003676,GO:0046872
111832885	GO:0000166,GO:0005524,GO:0016740,GO:0061631
111832886	GO:0000149,GO:0005484
111832887	GO:0005102,GO:0005109
111832888	GO:0000166,GO:0005525
111832889	
111832890	GO:0003746,GO:0003924,GO:0005525
111832891	GO:0000978,GO:0001077,GO:0003700,GO:0008270,GO:0043565,GO:0046872
111832892	GO:0008168
111832893	GO:0003824
111832894	GO:0003824,GO:0097108
111832895	
111832896	GO:0051082
111832897	GO:0003677,GO:0003700,GO:0043565,GO:0046982
111832898	GO:0008168
111832899	GO:0005216,GO:0005244,GO:0005248,GO:0005272
111832900	GO:0004579,GO:0016740,GO:0016757
111832901	GO:0005524,GO:0008568,GO:0016887
111832902	
111832903	GO:0046983
111832904	
111832906	GO:0005094,GO:0048365
111832908	GO:0000981,GO:0001227,GO:0003676,GO:0003682,GO:0046872
111832909	GO:0003747
111832910	GO:0008375,GO:0016740,GO:0016757,GO:0033829,GO:0046872
111832911	GO:0003674
111832912	GO:0030674
111832913	
111832914	GO:0003756,GO:0016853,GO:0031545
111832915	
111832916	GO:0003676,GO:0003723
111832917	GO:0000166,GO:0003676,GO:0003677,GO:0004386,GO:0005524,GO:0016787,GO:0016818,GO:0016887,GO:0031491
111832918	GO:0003674
111832919	GO:0004842,GO:0046872,GO:0061630,GO:0097602
111832920	
111832921	GO:0004672
111832926	GO:0004930,GO:0004984
111832928	GO:0005509,GO:0008092,GO:0042803,GO:0045296
111832929	GO:0000978,GO:0003676,GO:0003677,GO:0008270,GO:0043565,GO:0044212,GO:0046872
111832930	GO:0004096,GO:0005262,GO:0005509,GO:0020037,GO:0030246
111832931	
111832932	
111832933	
111832934	GO:0005544
111832935	GO:0001085,GO:0003677,GO:0003700,GO:0043565,GO:0044212
111832936	GO:0004930,GO:0004962
111832937	
111832938	GO:0020037,GO:0046872
111832939	GO:0003824,GO:0004721,GO:0004722,GO:0016787,GO:0043169,GO:0046872
111832941	GO:0003723
111832942	GO:0003674
111832943	
111832944	GO:0005261,GO:0008381
111832945	GO:0001965,GO:0005509,GO:0008092,GO:0042803,GO:0045296
111832946	GO:0000166,GO:0003924,GO:0005525,GO:0019901
111832947	GO:0005509,GO:0008092,GO:0042803,GO:0045296
111832948	GO:0004222,GO:0005524,GO:0008270
111832949	GO:0003700,GO:0003714,GO:0046872
111832950	GO:0003677,GO:0005515,GO:0070182
111832951	
111832952	GO:0003824,GO:0008484,GO:0043890
111832953	GO:0000049,GO:0016779,GO:0016783
111832954	
111832955	
111832956	GO:0000166,GO:0003924,GO:0005246,GO:0005525
111832957	GO:0003676,GO:0003677,GO:0003700,GO:0046872
111832958	GO:0003676,GO:0003723
111832959	
111832960	GO:0002055,GO:0003999,GO:0016208,GO:0016740
111832961	GO:0003674
111832962	GO:0003674
111832967	GO:0004197,GO:0004843,GO:0036459
111832968	GO:0003674
111832969	GO:0004197,GO:0004843,GO:0036459
111832970	GO:0039706,GO:0048019
111832971	
111832973	GO:0003779,GO:0004497,GO:0016491,GO:0043914,GO:0046872,GO:0071949
111832974	GO:0003676,GO:0003723
111832975	GO:0003779
111832976	
111832977	GO:0000976,GO:0003677,GO:0003700,GO:0005515,GO:0046982,GO:0046983
111832978	GO:0003723,GO:0003729,GO:0003743
111832979	GO:0033130,GO:0043495,GO:0046872
111832980	
111832981	
111832982	GO:0000166,GO:0005524,GO:0016301,GO:0016740,GO:0019136,GO:0019206
111832985	GO:0005509,GO:0008092,GO:0042803,GO:0045296
111832986	
111832987	GO:0008233,GO:0008235,GO:0008237,GO:0008239,GO:0016787,GO:0016805,GO:0046872
111832988	GO:0008146,GO:0016740
111832990	
111832991	GO:0003674
111832992	GO:0003674
111832993	GO:0003674
111832994	GO:0016740,GO:0016757,GO:0030246
111832995	
111832996	GO:0008270,GO:0016491
111832998	GO:0005509,GO:0008092,GO:0042803,GO:0045296
111832999	
111833000	
111833002	GO:0004930,GO:0008502
111833003	GO:0000166,GO:0003676,GO:0003723,GO:0004386,GO:0005524,GO:0016787,GO:0034459
111833004	GO:0000978,GO:0003677,GO:0003682,GO:0003700,GO:0008134
111833005	GO:0004553,GO:0008422
111833006	GO:0003677
111833007	GO:0005102
111833009	
111833010	GO:0004252
111833011	GO:0003777,GO:0045504
111833012	
111833013	GO:0003824,GO:0004152,GO:0016491,GO:0016627
111833014	
111833016	GO:0005102
111833017	GO:0008641,GO:0019781
111833018	GO:0004089,GO:0008270,GO:0046872
111833019	GO:0003834,GO:0004744,GO:0010436,GO:0016702,GO:0046872
111833020	GO:0003824,GO:0004722
111833021	GO:0000166,GO:0003676,GO:0004812,GO:0004824,GO:0005524,GO:0016874
111833022	
111833024	GO:0003834,GO:0004497,GO:0004744,GO:0008198,GO:0010436,GO:0016491,GO:0016702,GO:0046872,GO:0051213
111833025	GO:0000166,GO:0000287,GO:0004422,GO:0016740,GO:0016757,GO:0046872,GO:0052657
111833028	
111833029	GO:0003674
111833030	GO:0000166,GO:0004672,GO:0004674,GO:0005524,GO:0008349,GO:0016301,GO:0016740
111833031	GO:0000166,GO:0003924,GO:0005525
111833032	GO:0003674
111833033	GO:0003674
111833034	GO:0000166,GO:0004672,GO:0004713,GO:0004715,GO:0005102,GO:0005524,GO:0016301,GO:0016740
111833035	GO:0003674
111833036	GO:0003674
111833037	GO:0004672,GO:0016538,GO:0019901
