Pking_Entrez_geneID	Pking_gene_name	Pking_gene_symbol	type_of_gene
111832677	E3 ubiquitin-protein ligase RNF182-like	LOC111832677	protein-coding
111832679	uncharacterized LOC111832679	LOC111832679	ncRNA
111832682	uncharacterized LOC111832682	LOC111832682	ncRNA
111832685	dipeptidase 2-like	LOC111832685	protein-coding
111832687	adenylate cyclase type 2-like	LOC111832687	protein-coding
111832692	leukotriene B4 receptor 1-like	LOC111832692	protein-coding
111832693	FH1/FH2 domain-containing protein 1-like	LOC111832693	protein-coding
111832694	uncharacterized LOC111832694	LOC111832694	ncRNA
111832695	transcription initiation factor TFIID subunit 4-like	LOC111832695	protein-coding
111832696	protein LSM14 homolog A-like	LOC111832696	protein-coding
111832698	immunoglobulin superfamily member 3-like	LOC111832698	protein-coding
111832700	chromodomain-helicase-DNA-binding protein 9-like	LOC111832700	protein-coding
111832701	chromodomain-helicase-DNA-binding protein 9-like	LOC111832701	protein-coding
111832703	uncharacterized LOC111832703	LOC111832703	ncRNA
111832706	AFG3-like protein 1	LOC111832706	protein-coding
111832713	uncharacterized LOC111832713	LOC111832713	ncRNA
111832714	rho guanine nucleotide exchange factor 40-like	LOC111832714	protein-coding
111832719	BTB/POZ domain-containing protein kctd15	LOC111832719	protein-coding
111832720	speedy protein A-like	LOC111832720	protein-coding
111832724	uncharacterized LOC111832724	LOC111832724	ncRNA
111832728	uncharacterized LOC111832728	LOC111832728	ncRNA
111832731	galanin receptor type 1-like	LOC111832731	protein-coding
111832732	b(0,+)-type amino acid transporter 1-like	LOC111832732	protein-coding
111832734	Wilms tumor protein 1-interacting protein homolog	LOC111832734	protein-coding
111832736	corticosteroid 11-beta-dehydrogenase isozyme 2-like	LOC111832736	protein-coding
111832738	arylamine N-acetyltransferase, pineal gland isozyme NAT-10-like	LOC111832738	protein-coding
111832741	RNA-binding Raly-like protein	LOC111832741	protein-coding
111832742	V-type proton ATPase subunit d 1	LOC111832742	protein-coding
111832743	uridine-cytidine kinase-like 1	LOC111832743	protein-coding
111832745	5-hydroxyisourate hydrolase-like	LOC111832745	protein-coding
111832746	protein naked cuticle homolog 1-like	LOC111832746	protein-coding
111832749	uncharacterized LOC111832749	LOC111832749	ncRNA
111832751	sal-like protein 1	LOC111832751	protein-coding
111832752	non-canonical poly(A) RNA polymerase PAPD5-like	LOC111832752	protein-coding
111832754	forkhead box protein F1	LOC111832754	protein-coding
111832755	ATP synthase-coupling factor 6, mitochondrial-like	LOC111832755	protein-coding
111832756	uncharacterized LOC111832756	LOC111832756	ncRNA
111832758	uncharacterized LOC111832758	LOC111832758	ncRNA
111832760	C-type lectin domain family 18 member A-like	LOC111832760	protein-coding
111832761	fibulin-7-like	LOC111832761	protein-coding
111832763	carbohydrate sulfotransferase 8-like	LOC111832763	protein-coding
111832765	uncharacterized LOC111832765	LOC111832765	ncRNA
111832769	covalently-linked cell wall protein 14-like	LOC111832769	protein-coding
111832771	uncharacterized LOC111832771	LOC111832771	protein-coding
111832773	erythropoietin-like	LOC111832773	protein-coding
111832774	immunoglobulin kappa light chain-like	LOC111832774	protein-coding
111832779	uncharacterized LOC111832779	LOC111832779	ncRNA
111832780	uncharacterized LOC111832780	LOC111832780	ncRNA
111832782	U1 spliceosomal RNA	LOC111832782	snRNA
111832783	U2 spliceosomal RNA	LOC111832783	snRNA
111832784	U2 spliceosomal RNA	LOC111832784	snRNA
111832787	transcriptional repressor p66-beta-like	LOC111832787	protein-coding
111832788	phosphatidylserine synthase 1-like	LOC111832788	protein-coding
111832789	uncharacterized LOC111832789	LOC111832789	protein-coding
111832790	thrombospondin-3a-like	LOC111832790	protein-coding
111832791	uncharacterized LOC111832791	LOC111832791	ncRNA
111832795	gonadotropin-releasing hormone II receptor-like	LOC111832795	protein-coding
111832796	uncharacterized LOC111832796	LOC111832796	ncRNA
111832797	immunoglobulin superfamily DCC subclass member 3-like	LOC111832797	protein-coding
111832798	polyamine-modulated factor 1-like	LOC111832798	protein-coding
111832801	protein S100-A14-like	LOC111832801	protein-coding
111832802	solute carrier family 25 member 51-like	LOC111832802	protein-coding
111832803	uncharacterized LOC111832803	LOC111832803	ncRNA
111832804	thioredoxin-interacting protein-like	LOC111832804	protein-coding
111832805	uncharacterized LOC111832805	LOC111832805	ncRNA
111832809	uncharacterized protein KIAA1109-like	LOC111832809	protein-coding
111832811	caltractin	LOC111832811	protein-coding
111832812	fibroblast growth factor 2-like	LOC111832812	protein-coding
111832814	short transient receptor potential channel 3	LOC111832814	protein-coding
111832815	glutathione S-transferase P-like	LOC111832815	protein-coding
111832816	uncharacterized LOC111832816	LOC111832816	ncRNA
111832820	TBC1 domain family member 14-like	LOC111832820	protein-coding
111832821	uncharacterized LOC111832821	LOC111832821	protein-coding
111832822	eotaxin-like	LOC111832822	protein-coding
111832823	uncharacterized LOC111832823	LOC111832823	ncRNA
111832824	uncharacterized LOC111832824	LOC111832824	ncRNA
111832825	eotaxin-like	LOC111832825	protein-coding
111832826	carcinoembryonic antigen-related cell adhesion molecule 1-like	LOC111832826	protein-coding
111832827	inhibitor of growth protein 5-like	LOC111832827	protein-coding
111832829	uncharacterized LOC111832829	LOC111832829	ncRNA
111832831	ephrin type-A receptor 3-like	LOC111832831	protein-coding
111832834	heparan-sulfate 6-O-sulfotransferase 1-A-like	LOC111832834	protein-coding
111832835	cadherin-4-like	LOC111832835	protein-coding
111832836	type II inositol 3,4-bisphosphate 4-phosphatase-like	LOC111832836	protein-coding
111832837	zinc finger BED domain-containing protein 1-like	LOC111832837	protein-coding
111832838	uncharacterized LOC111832838	LOC111832838	ncRNA
111832839	cadherin-like protein 26	LOC111832839	protein-coding
111832842	proteasome subunit alpha type-7-like	LOC111832842	protein-coding
111832844	uncharacterized LOC111832844	LOC111832844	protein-coding
111832845	uncharacterized LOC111832845	LOC111832845	ncRNA
111832846	CMRF35-like molecule 3	LOC111832846	protein-coding
111832847	uncharacterized LOC111832847	LOC111832847	ncRNA
111832848	ras suppressor protein 1-like	LOC111832848	protein-coding
111832850	polymeric immunoglobulin receptor-like	LOC111832850	protein-coding
111832853	calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase 1C-like	LOC111832853	protein-coding
111832854	calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase 1C-like	LOC111832854	protein-coding
111832856	STEAP family member 1B-like	LOC111832856	protein-coding
111832857	eukaryotic translation initiation factor 1b	LOC111832857	protein-coding
111832858	tripartite motif-containing protein 16-like	LOC111832858	protein-coding
111832859	CMRF35-like molecule 3	LOC111832859	protein-coding
111832860	CMRF35-like molecule 7	LOC111832860	protein-coding
