rev1	XM_023790310.1
LOC111861138	XM_023790311.1
LOC111832677	XM_023790312.1
LOC111832677	XM_023790313.1
faap24	XM_023790314.1
irx6	XM_023790315.1
irx6	XM_023790316.1
gas8	XM_023790317.1
slc12a4	XM_023790318.1
LOC111832685	XM_023790319.1
LOC111832685	XM_023790320.1
LOC111832685	XM_023790321.1
LOC111832687	XM_023790322.1
LOC111832687	XM_023790323.1
LOC111832687	XM_023790324.1
LOC111832687	XM_023790325.1
LOC111832687	XM_023790326.1
LOC111832687	XM_023790327.1
LOC111832687	XM_023790328.1
LOC111832687	XM_023790329.1
nfatc3	XM_023790330.1
nfatc3	XM_023790331.1
esrp2	XM_023790332.1
esrp2	XM_023790333.1
amfr	XM_023790334.1
LOC111832692	XM_023790335.1
LOC111832693	XM_023790336.1
LOC111832693	XM_023790337.1
LOC111832693	XM_023790338.1
LOC111832693	XM_023790339.1
LOC111832695	XM_023790340.1
LOC111832695	XM_023790341.1
LOC111832695	XM_023790342.1
LOC111832695	XM_023790343.1
LOC111832696	XM_023790344.1
lrp3	XM_023790345.1
lrp3	XM_023790346.1
lrp3	XM_023790347.1
lrp3	XM_023790348.1
lrp3	XM_023790349.1
slc7a10	XM_023790350.1
LOC111832698	XM_023790351.1
LOC111832700	XM_023790352.1
LOC111832700	XM_023790353.1
LOC111832700	XM_023790354.1
LOC111832700	XM_023790355.1
LOC111832701	XM_023790356.1
aktip	XM_023790357.1
aktip	XM_023790358.1
ankrd27	XM_023790359.1
ankrd27	XM_023790360.1
ankrd27	XM_023790361.1
ankrd27	XM_023790362.1
ankrd27	XM_023790363.1
LOC111832706	XM_023790364.1
tcf25	XM_023790365.1
tubb3	XM_023790366.1
def8	XM_023790367.1
def8	XM_023790368.1
mc1r	XM_023790369.1
dbndd1	XM_023790370.1
LOC111832714	XM_023790371.1
rbl2	XM_023790372.1
pdpr	XM_023790373.1
pdpr	XM_023790374.1
cyld	XM_023790375.1
cyld	XM_023790376.1
slc9a5	XM_023790377.1
LOC111832719	XM_023790378.1
LOC111832719	XM_023790379.1
LOC111832719	XM_023790380.1
LOC111832719	XM_023790381.1
mmp2	XM_023790382.1
slc6a2	XM_023790383.1
slc6a2	XM_023790384.1
LOC111832720	XM_023790385.1
lpcat2	XM_023790386.1
cog8	XM_023790387.1
LOC111861138	XM_023790388.1
nob1	XM_023790389.1
nip7	XM_023790390.1
ddx28	XM_023790391.1
dus2	XM_023790392.1
LOC111832731	XM_023790393.1
LOC111832731	XM_023790394.1
LOC111832732	XM_023790395.1
LOC111832732	XM_023790396.1
LOC111832732	XM_023790397.1
LOC111832732	XM_023790398.1
LOC111832732	XM_023790399.1
nudt19	XM_023790400.1
LOC111832734	XM_023790401.1
LOC111832734	XM_023790402.1
ss18l2	XM_023790403.1
LOC111832736	XM_023790404.1
heatr3	XM_023790405.1
heatr3	XM_023790406.1
LOC111832738	XM_023790407.1
mphosph6	XM_023790408.1
rgs9bp	XM_023790409.1
LOC111832741	XM_023790410.1
LOC111832742	XM_023790411.1
LOC111832743	XM_023790412.1
LOC111832745	XM_023790413.1
LOC111832745	XM_023790414.1
LOC111832746	XM_023790415.1
LOC111832746	XM_023790416.1
LOC111832746	XM_023790417.1
zdhhc1	XM_023790418.1
gpatch1	XM_023790419.1
gpatch1	XM_023790420.1
gpatch1	XM_023790421.1
gpatch1	XM_023790422.1
gpatch1	XM_023790423.1
gpatch1	XM_023790424.1
gpatch1	XM_023790425.1
gpatch1	XM_023790426.1
gpatch1	XM_023790427.1
gpatch1	XM_023790428.1
zdhhc7	XM_023790429.1
zdhhc7	XM_023790430.1
zdhhc7	XM_023790431.1
LOC111832751	XM_023790432.1
LOC111832752	XM_023790433.1
LOC111832752	XM_023790434.1
LOC111832752	XM_023790435.1
nod2	XM_023790436.1
nod2	XM_023790437.1
LOC111832754	XM_023790438.1
tppp3	XM_023790439.1
tppp3	XM_023790440.1
LOC111832755	XM_023790441.1
rfwd3	XM_023790442.1
rfwd3	XM_023790443.1
LOC111832760	XM_023790444.1
LOC111832760	XM_023790445.1
LOC111832761	XM_023790446.1
abcc12	XM_023790447.1
LOC111832763	XM_023790448.1
LOC111832763	XM_023790449.1
cenpq	XM_023790450.1
efnb3	XM_023790451.1
LOC111832769	XM_023790452.1
dnah2	XM_023790453.1
LOC111832771	XM_023790454.1
tmem88	XM_023790455.1
tmem88	XM_023790456.1
LOC111832773	XM_023790457.1
LOC111832773	XM_023790458.1
kdm6b	XM_023790459.1
kdm6b	XM_023790460.1
kdm6b	XM_023790461.1
kdm6b	XM_023790462.1
LOC111832774	XM_023790463.1
kdm6b	XM_023790464.1
kdm6b	XM_023790465.1
kdm6b	XM_023790466.1
kdm6b	XM_023790467.1
kdm6b	XM_023790468.1
gigyf1	XM_023790469.1
gigyf1	XM_023790470.1
gigyf1	XM_023790471.1
gigyf1	XM_023790472.1
gigyf1	XM_023790473.1
gigyf1	XM_023790474.1
ufsp1	XM_023790475.1
wrap53	XM_023790476.1
LOC111832787	XM_023790477.1
LOC111832788	XM_023790478.1
LOC111832790	XM_023790479.1
cap2	XM_023790480.1
LOC111832789	XM_023790481.1
cap2	XM_023790482.1
cap2	XM_023790483.1
aunip	XM_023790484.1
aunip	XM_023790485.1
vps28	XM_023790486.1
vps28	XM_023790487.1
vps28	XM_023790488.1
vps28	XM_023790489.1
LOC111832795	XM_023790490.1
LOC111832795	XM_023790491.1
LOC111832797	XM_023790492.1
LOC111832798	XM_023790493.1
stmnd1	XM_023790494.1
rbm24	XM_023790495.1
rbm24	XM_023790496.1
LOC111832801	XM_023790497.1
uxs1	XM_023790498.1
LOC111832804	XM_023790499.1
kif13a	XM_023790500.1
LOC111832802	XM_023790501.1
kif13a	XM_023790502.1
kif13a	XM_023790503.1
kif13a	XM_023790504.1
kif13a	XM_023790505.1
kif13a	XM_023790506.1
kif13a	XM_023790507.1
kif13a	XM_023790508.1
nup153	XM_023790509.1
nup153	XM_023790510.1
LOC111832802	XM_023790511.1
LOC111832809	XM_023790512.1
bbs12	XM_023790513.1
bbs12	XM_023790514.1
bbs12	XM_023790515.1
bbs12	XM_023790516.1
LOC111832811	XM_023790517.1
LOC111832802	XM_023790518.1
LOC111832812	XM_023790519.1
il15	XM_023790520.1
il15	XM_023790521.1
LOC111832814	XM_023790522.1
LOC111832814	XM_023790523.1
LOC111832815	XM_023790524.1
cunh9orf72	XM_023790525.1
LOC111832802	XM_023790526.1
LOC111832820	XM_023790527.1
LOC111832821	XM_023790528.1
LOC111832822	XM_023790529.1
LOC111832822	XM_023790530.1
LOC111832822	XM_023790531.1
LOC111832822	XM_023790532.1
LOC111832825	XM_023790533.1
LOC111832826	XM_023790534.1
LOC111832826	XM_023790535.1
LOC111832826	XM_023790536.1
LOC111832827	XM_023790537.1
plekhb2	XM_023790538.1
plekhb2	XM_023790539.1
plekhb2	XM_023790540.1
cep19	XM_023790541.1
LOC111832831	XM_023790542.1
pak2	XM_023790543.1
pigx	XM_023790544.1
LOC111832834	XM_023790545.1
LOC111832835	XM_023790546.1
LOC111832837	XM_023790547.1
LOC111832839	XM_023790548.1
LOC111832839	XM_023790549.1
LOC111832836	XM_023790550.1
LOC111832839	XM_023790551.1
ss18l1	XM_023790552.1
ss18l1	XM_023790553.1
ss18l1	XM_023790554.1
ss18l1	XM_023790555.1
ss18l1	XM_023790556.1
ss18l1	XM_023790557.1
lsm14b	XM_023790558.1
lsm14b	XM_023790559.1
LOC111832836	XM_023790560.1
LOC111832842	XM_023790561.1
taf4	XM_023790562.1
taf4	XM_023790563.1
taf4	XM_023790564.1
LOC111832844	XM_023790565.1
LOC111832844	XM_023790566.1
LOC111832836	XM_023790567.1
LOC111832846	XM_023790568.1
LOC111832848	XM_023790569.1
vim	XM_023790570.1
LOC111832850	XM_023790571.1
trdmt1	XM_023790572.1
LOC111832836	XM_023790573.1
LOC111832853	XM_023790574.1
LOC111832853	XM_023790575.1
LOC111832853	XM_023790576.1
LOC111832854	XM_023790577.1
c1ql3	XM_023790578.1
LOC111832856	XM_023790579.1
LOC111832857	XM_023790580.1
LOC111832836	XM_023790581.1
LOC111832858	XM_023790582.1
LOC111832859	XM_023790583.1
LOC111832859	XM_023790584.1
LOC111832859	XM_023790585.1
LOC111832859	XM_023790586.1
LOC111832859	XM_023790587.1
LOC111832859	XM_023790588.1
LOC111832859	XM_023790589.1
LOC111832859	XM_023790590.1
LOC111832860	XM_023790591.1
ccdc129	XM_023790592.1
ccdc129	XM_023790593.1
ccdc129	XM_023790594.1
rnf175	XM_023790595.1
neurod6	XM_023790596.1
neurod6	XM_023790597.1
cubn	XM_023790598.1
agtrap	XM_023790599.1
agtrap	XM_023790600.1
rnf175	XM_023790601.1
LOC111832871	XM_023790602.1
LOC111832871	XM_023790603.1
chd5	XM_023790604.1
chd5	XM_023790605.1
LOC111832873	XM_023790606.1
LOC111832873	XM_023790607.1
rnf175	XM_023790608.1
LOC111832874	XM_023790609.1
LOC111832875	XM_023790610.1
LOC111832876	XM_023790611.1
cunh2orf40	XM_023790612.1
LOC111832877	XM_023790613.1
LOC111832877	XM_023790614.1
LOC111832877	XM_023790615.1
LOC111832878	XM_023790616.1
LOC111832879	XM_023790617.1
LOC111832879	XM_023790618.1
LOC111832879	XM_023790619.1
LOC111832879	XM_023790620.1
LOC111832879	XM_023790621.1
LOC111832881	XM_023790622.1
LOC111832882	XM_023790623.1
LOC111832883	XM_023790624.1
LOC111832883	XM_023790625.1
LOC111832883	XM_023790626.1
LOC111832884	XM_023790627.1
LOC111832884	XM_023790628.1
LOC111832884	XM_023790629.1
LOC111832884	XM_023790630.1
LOC111832884	XM_023790631.1
LOC111832884	XM_023790632.1
LOC111832884	XM_023790633.1
LOC111832884	XM_023790634.1
LOC111832885	XM_023790635.1
gosr2	XM_023790636.1
LOC111832887	XM_023790637.1
LOC111832888	XM_023790638.1
LOC111832888	XM_023790639.1
LOC111832889	XM_023790640.1
eefsec	XM_023790641.1
LOC111832891	XM_023790642.1
LOC111832885	XM_023790643.1
LOC111832891	XM_023790644.1
LOC111832891	XM_023790645.1
LOC111832891	XM_023790646.1
LOC111832892	XM_023790647.1
LOC111832892	XM_023790648.1
LOC111832892	XM_023790649.1
dip2b	XM_023790650.1
dip2b	XM_023790651.1
dip2b	XM_023790652.1
larp4	XM_023790653.1
larp4	XM_023790654.1
larp4	XM_023790655.1
LOC111832894	XM_023790656.1
pfdn5	XM_023790657.1
atf1	XM_023790658.1
atf1	XM_023790659.1
atf1	XM_023790660.1
atf1	XM_023790661.1
LOC111832898	XM_023790662.1
LOC111832899	XM_023790663.1
LOC111832899	XM_023790664.1
LOC111832894	XM_023790665.1
LOC111832899	XM_023790666.1
LOC111832899	XM_023790667.1
rpn1	XM_023790668.1
fignl2	XM_023790669.1
mustn1	XM_023790670.1
LOC111832903	XM_023790671.1
LOC111832903	XM_023790672.1
nptx1	XM_023790673.1
